# Auditor opinion to-do list — auto-generated
# Generated: 2026-07-09T05:34:52.220Z
# Stale threshold: 330 days
# Total in universe: 520
# Already fresh (skipped): 106
# No BSE code yet (skipped — run bse-codes-backfill workflow): 21
# To-do this week: 393
#
# Format: Company Name, BSECode
Anant Raj, 515055
Patanjali Foods, 500368
Kansai Nerolac, 500165
Aether Industri., 543534
Azad Engineering, 544061
DCM Shriram, 523367
Asahi India Glas, 515030
Capri Global, 531595
GMR Airports, 532754
Deepak Fertilis., 500645
Oil India, 533106
Prime Focus, 532748
Deepak Nitrite, 506401
Shriram Finance, 532498
Century Plyboard, 532548
Aster DM Health., 540975
Aadhar Hsg. Fin., 544176
ACC, 500410
Vertis Infra., 202033
Dr Agarwal's Hea, 544350
JSW Cement, 544480
Bajaj Holdings, 500490
JSW Steel, 500228
IIFL Finance, 532636
HFCL, 500183
Bajaj Finance, 500034
Ventive Hospital, 512375
G M D C, 532181
Rail Vikas, 542649
ITC Hotels, 544325
United Breweries, 532478
CESC, 500084
Tata Power Co., 500400
Bajaj Finserv, 532978
Brigade Enterpr., 532929
Shree Cement, 500387
Inox Wind, 539083
Carborundum Uni., 513375
NLC India, 513683
Jindal Saw, 500378
Prestige Estates, 533274
PG Electroplast, 533581
PB Fintech., 543390
HDFC Life Insur., 540777
Reliance Industries, 500325
Amber Enterp., 540902
UPL, 512070
ICICI Pru Life, 540133
SBI Cards, 543066
Syngene Intl., 539268
CreditAcc. Gram., 541770
Gujarat Fluoroch, 542812
Chola Financial, 504973
Power Grid Corpn, 532898
Power Fin.Corpn., 532810
REC Ltd, 532955
Cholaman.Inv.&Fn, 511243
Jindal Steel, 532286
Ircon Intl., 541956
GAIL (India), 532155
Adani Energy Sol, 539254
Sundaram Finance, 590071
PNB Housing, 540173
Krishna Institu., 543308
Tata Consumer, 500800
HDB FINANC SER, 544429
Voltas, 500575
Jubilant Pharmo, 530019
ACME Solar Hold., 544283
Vardhman Textile, 502986
Godrej Industrie, 500164
Bajaj Housing, 544252
M & M Fin. Serv., 532720
Aditya Birla Cap, 540691
Leela Palaces Hotels, 544408
Indian Renewable, 544026
Altius Telecom, 543225
LIC Housing Fin., 500253
Tata Capital, 544574
Star Health Insu, 543412
Exide Inds., 500086
B H E L, 500103
Lenskart Solut., 544600
PTC Industries, 539006
H U D C O, 540530
L&T Finance Ltd, 533519
Cohance Life, 543064
Canara HSBC, 544583
NTPC, 532555
Godrej Propert., 533150
Manappuram Fin., 531213
JSW Energy, 533148
Grasim Inds, 500300
IndiGrid Trust, 540565
S A I L, 500113
Sterlite Tech., 532374
BEML Ltd, 500048
AU Small Finance, 540611
Karur Vysya Bank, 590003
Mindspace Busine, 543217
Dalmia BharatLtd, 542216
Wockhardt, 532300
Poonawalla Fin, 524000
IRB Infra.Devl., 532947
Adani Green, 541450
Anupam Rasayan, 543275
Aegis Vopak Term, 544407
ICICI Bank, 532174
HDFC Bank, 500180
Kotak Mah. Bank, 500247
Sobha, 532784
Aarti Industries, 524208
City Union Bank, 532210
Interglobe Aviat, 539448
Canara Bank, 532483
Piramal Finance., 544597
Cube Highways, 543899
Bandhan Bank, 541153
Federal Bank, 500469
DLF, 532868
Indian Bank, 532814
Union Bank (I), 532477
Welspun Living, 514162
Axis Bank, 532215
Nexus Select, 543913
Clean Max Enviro, 544717
Punjab Natl.Bank, 532461
SBI, 500112
The Ramco Cement, 500260
I O B, 532388
Bank of Maha, 532525
IDFC First Bank, 539437
Yes Bank, 532648
Pun. & Sind Bank, 533295
Bank of India, 532149
IDBI Bank, 500116
J & K Bank, 532209
Adani Enterp., 512599
RBL Bank, 540065
NHPC Ltd, 533098
IndusInd Bank, 532187
I R F C, 543257
Bank of Baroda, 532134
Central Bank, 532885
Ambuja Cements, 500425
Embassy Off.REIT, 542602
LMW, 500252
SJVN, 533206
UCO Bank, 532505
Info Edg.(India), 532777
Brookfield India, 543261
IFCI, 500106
One 97, 543396
Zydus Wellness, 531335
F A C T, 590024
Sammaan Capital, 535789
Devyani Intl., 543330
National High, 543385
Bharat Coking, 544678
Pine Labs, 544606
Physicswallah, 544609
New India Assura, 540769
Biocon, 532523
NTPC Green Ene., 544289
Niva Bupa Health, 544286
Tata Chemicals, 500770
NMDC Steel, 543768
Eternal, 543320
Max Financial, 500271
Delhivery, 543529
Tata Motors PVeh, 500570
Piramal Pharma, 543635
Jio Financial, 543940
Tata Inv.Corpn., 501301
ITI, 523610
KIOCL, 540680
Mah. Scooters, 500266
OneSource Speci., 530805
JSW Holdings, 532642
Vodafone Idea, 532822
A B Real Estate, 500040
Urban Company, 537582
Ola Electric, 544225
Ather Energy, 544397
Swiggy, 544285
Meesho, 544632
Knowledge Realty, 544481
